Invoice No.,Item Name
20806,['South Indian Filter Kaapi (250 ML)']
20807,['Iced Americano (350 ML)']
20808,"['Iced Americano (350 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20809,"['Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)']"
20810,"['South Indian Filter Kaapi (150 ML)', 'Papparoti (Add On Nutella sauce)']"
20812,"['Almond Frappe (450 Ml)', 'Madagascar Hot Chocolate (350 Ml)']"
20813,['Classic Frappe (450 ML)']
20814,"['Almond Frappe (350 ML)', 'Kaapicino (250 ML)']"
20815,['Papparoti (Plain)']
20816,['Choco-crinkle-cookies (COMBO 6 PCS)']
20817,['Madagascar Chocochip Frappe (450 ML)']
20818,"['Cappucino (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Cappucino (250 ML)', 'Vanilla Praline (350 ML)']"
20819,"['Cappucino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
20820,"['Classic Frappe (350 ML)', 'Iced Latte (350 ML)']"
20822,['Cafe Mocha (350 Ml)']
20823,"['Madagascar Hot Chocolate (250 ML)', 'Cafe Mocha (250 ML)', 'Bon Bon (350 ML)']"
20824,"['Americano (350 ML)', 'Americano (250 ML)']"
20825,"['Hot Chocolate (350 ML)', 'Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20826,"['Bon Bon (450 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20827,"['Classic Frappe (350 ML)', 'Iced Mocha (350 ML)']"
20828,"['Vietnamese (350 ML)', 'ALMOND MILK (200 ML)']"
20829,['Bon Bon (350 ML)']
20831,"['Papparoti (Add On Nutella sauce)', 'Hot Chocolate (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Calzones Veg (Calzone Veg)', 'South Indian Filter Kaapi (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
20832,['Vietnamese (450 ML)']
20833,"['Hazelnut Frappe (450 ML)', 'Calzones Veg (Calzone Veg)']"
20834,"['Cafe Latte (250 ML)', 'Hot Chocolate (250 ML)']"
20835,['Papparoti (Add On Nutella sauce)']
20836,['Bon Bon (350 ML)']
20837,"['South Indian Filter Kaapi (250 ML)', 'Kaapicino (250 ML)', 'Vanilla Praline (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Papparoti (Plain)']"
20838,"['Papparoti (Add On Nutella sauce)', 'Calzones Veg (Calzone Paneer)', 'Calzones Veg (Calzone Veg)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)']"
20839,"['Caramel Frappe (350 ML)', 'Vietnamese (350 ML)']"
